p1	margin	acc	macroF1
0.480	0.040	0.9083	0.9057
0.480	0.060	0.9083	0.9057
0.480	0.080	0.9083	0.9063
0.480	0.100	0.9083	0.9063
0.480	0.120	0.9083	0.9063
0.480	0.150	0.9167	0.9156
0.500	0.040	0.9167	0.9156
0.500	0.060	0.9167	0.9156
0.500	0.080	0.9167	0.9156
0.500	0.100	0.9167	0.9156
0.500	0.120	0.9167	0.9156
0.500	0.150	0.9167	0.9156
0.520	0.040	0.9167	0.9156
0.520	0.060	0.9167	0.9156
0.520	0.080	0.9167	0.9156
0.520	0.100	0.9167	0.9156
0.520	0.120	0.9167	0.9156
0.520	0.150	0.9167	0.9156
0.550	0.040	0.9000	0.9003
0.550	0.060	0.9000	0.9003
0.550	0.080	0.9000	0.9003
0.550	0.100	0.9000	0.9003
0.550	0.120	0.9000	0.9003
0.550	0.150	0.9000	0.9003
0.580	0.040	0.9000	0.9006
0.580	0.060	0.9000	0.9006
0.580	0.080	0.9000	0.9006
0.580	0.100	0.9000	0.9006
0.580	0.120	0.9000	0.9006
0.580	0.150	0.9000	0.9006
0.600	0.040	0.9000	0.9006
0.600	0.060	0.9000	0.9006
0.600	0.080	0.9000	0.9006
0.600	0.100	0.9000	0.9006
0.600	0.120	0.9000	0.9006
0.600	0.150	0.9000	0.9006
